Day,Conversions_A,No_Conversions_A,Visits_A,Conversions_B,No_Conversions_B,Visits_B
"May 21, 2018",778,-128,650,606,-4,602
"May 22, 2018",2115,-38,2077,2049,38,2087
"May 23, 2018",3361,-15,3346,3183,110,3293
"May 24, 2018",4512,-105,4407,4179,185,4364
"May 25, 2018",5326,66,5392,5079,257,5336
"May 26, 2018",5578,51,5629,5293,286,5579
"May 27, 2018",5902,105,6007,5574,358,5932
"May 28, 2018",6872,237,7109,6450,512,6962
"May 29, 2018",8248,290,8538,7736,623,8359
"May 30, 2018",9515,425,9940,9048,727,9775
"May 31, 2018",10813,461,11274,10227,887,11114
"June 1, 2018",11697,581,12278,11313,881,12194
"June 2, 2018",11884,628,12512,11478,959,12437
"June 3, 2018",12241,661,12902,11791,1044,12835
"June 4, 2018",13518,748,14266,13142,1099,14241
"June 5, 2018",14838,925,15763,14464,1240,15704
"June 6, 2018",16283,1005,17288,15695,1463,17158
"June 7, 2018",17488,1205,18693,17041,1590,18631
"June 8, 2018",18409,1316,19725,18004,1693,19697
"June 9, 2018",18585,1339,19924,18277,1660,19937
"June 10, 2018",18893,1375,20268,18563,1730,20293
"June 11, 2018",19695,1379,21074,19354,1846,21200
